start	end	text
0	3000	Today is 7th.
3000	4000	7th?
4000	5000	Oh, shit.
5000	6000	Okay.
6000	7000	I'll change the...
7000	8000	Okay.
8000	9000	Stream is live.
9000	10000	Change the date.
10000	11000	7th.
11000	14000	So, I started recording.
14000	17000	My bad.
18000	20000	So, hey.
20000	21000	Welcome to the stream.
21000	25000	We already started talking about something and then realized that we haven't been streaming.
25000	27000	And I have been recording instead.
27000	29000	So, let me quickly correct that mistake.
29000	36000	And so, now that you go live, we were talking about how do we want to approach the format
36000	38000	and the medium and the brand.
38000	40000	So, let me quickly correct that mistake.
40000	46000	And so, now that you go live, we were talking about how do we want to approach the format
46000	51000	and the medium and the brand, et cetera, et cetera, and what are the things that drives
51000	55000	the momentum as well as what are the things that gives us more energy to continue forward
55000	59000	doing the same thing as in things that we enjoy.
59000	64000	So, with that said, with that brief context, I don't want to dig too deep into that because
64000	68000	we were in the middle of our conversation.
68000	72000	I'll hand it over to Kosta who was speaking at the last moment.
72000	74000	Go ahead, Kosta.
75000	82000	The question was that how do we use the things that we have now to kind of build, you know,
82000	89000	not to call it a content pipeline as much as different areas of work that we want to get to.
89000	97000	And the core of it is that there are a bunch of ideas floating around that is probably
97000	102000	valuable to audiences beyond just the two of us.
102000	108000	And what we would like to do is maybe take them into forms of blog posts as a podcast,
108000	113000	eventually building onto some software, some, you know, usable things.
113000	118000	But then instead of looking at these things as separate things that we have to produce,
118000	123000	like not to be in a stage where, you know, hey, write 10 blog posts this month,
123000	127000	two podcasts this month, and I don't think either of us wants to get into this.
127000	132000	So instead, one of the suggestions was that why don't we use these weekly discussions
132000	141000	as stage zero, which is the most malleable part of the entire initiative.
141000	146000	Over three to four such iterations in a month, we would have three to four such sessions,
146000	151000	which brings us to stage one, at which point distil or extract the information
151000	155000	and categorize the information that has been created in these discussions,
155000	159000	which then goes on to build blog posts, goes on to inform podcasts,
159000	164000	but then and any other forms that come in.
164000	171000	But for any audience member, anybody listening in, the part that I was just saying last
171000	176000	and I guess there would have something different or addition to say here is I see different
176000	180000	levels of engagement as different levels of what we were talking about the orbit model in
181000	187000	and how that kind of changes the concept of looking at communities as a funnel
187000	192000	that you get community members at the top of the funnel, they slowly filter down.
192000	198000	Instead of that, look at communities as objects orbiting around the central body.
198000	203000	The central body of that solar system, so to say, would be the initiative
203000	206000	or the project that you are building people around.
206000	210000	So in that sense, these stages are sort of the inner workings.
210000	215000	So these are very inner layers of the orbit.
215000	221000	And then like blog posts and all you can get to how much more malleable that form is
221000	224000	for us to maybe act on any feedback that comes in.
224000	227000	So that's probably a bit vague.
227000	234000	But the idea is that we start with this and roll out anything new that comes off of this data.
236000	238000	How does that sound?
238000	242000	Yeah, that sounds good.
242000	244000	Right.
244000	251000	To put my focus back into the part that you started with, not to call it a content pipeline,
251000	253000	but the stages.
253000	259000	How about I kind of lay down those like stages as they're coming into my head
259000	261000	and then figure that part out.
261000	265000	So say, for example, the first initial part would be thinking out loud,
265000	267000	which is what we are doing.
267000	271000	So first audience is us, like you and me, essentially, right?
271000	274000	So basically, we are thinking ourselves out loud.
274000	280000	And we are doing so through this streaming thingy.
280000	286000	So some people might want to watch this live and participate in that process.
286000	289000	They would pose the question live.
289000	291000	I'm not talking about right now.
291000	294000	I'm talking about in its more mature stage.
294000	298000	So they would want to come along for the journey, essentially,
298000	301000	and be live participants of what is being discussed.
301000	303000	That's stage one.
303000	305000	We are the stage zero.
305000	307000	That is stage one.
307000	312000	The next ones would be the people who watch the world next day.
312000	316000	Another layer would be people who hang out on our Discord server or something like that,
316000	319000	something of that kind, like more real-time community support.
319000	321000	I'm not saying Discord has to be it.
321000	322000	It can be Slack. It can be Discord.
322000	326000	It can be some other more decentralized or federated mechanism, metrics.
326000	328000	That's not the point.
328000	335000	The point is like real-time communication, more of a real-time communication platform,
335000	339000	where they can post questions, have discussions on that.
339000	343000	So it basically becomes a community, like another layer of community.
343000	348000	And the layer above that becomes the ones who read the blog posts or newsletters,
348000	354000	whatever you want to call it, on a particular time basis.
354000	358000	Or maybe there will be a level below that,
358000	366000	people who see the curated posts on different mediums we share it on,
366000	370000	Twitter or LinkedIn or other places where it gets shared.
370000	371000	They read about it.
371000	375000	Okay, they understand that there are these people doing something called Anthropoceneershare
375000	376000	or something like that.
