start	end	text
0	8000	I'm trying to go live.
8000	16000	Before you go, do you have any specific topic in mind?
38000	46000	I'll leave the OBS behind.
46000	62000	Assuming everything else is happening fine and the audio levels are fine, let's start with an introduction which is going to be awkward anyway.
62000	64000	Hello and welcome everyone.
64000	79000	We are continuing forward from our last session, which was the introduction, so hopefully this time we'll have a little bit nicer grip on the topic or discussion and the flow of it.
79000	85000	With that said, I have roughly 3 topics.
85000	95000	The first one is that, remember we were talking about how do we demystify the concepts that are inherently nebulous, things like philosophy.
95000	108000	How do we make it more scientific or to preach to people that want to understand things in a logical, rational, measurable or quantifiable manner.
108000	118000	I can give a couple of examples of that kind of approach working, so I'll run that through.
118000	128000	The second one is that tomorrow is actually the 100th anniversary of Sukumar Ray's death.
128000	134000	He is a huge impact in my life, so I've been thinking of paying some kind of homage.
134000	144000	I don't know exactly in what way, what is appropriate and what I'm capable of, but in some way at least I'm trying to remember him.
144000	154000	The third one is kind of chalking out the lay of the land of metaphysics.
154000	165000	In a sense, what are the things that are worth covering that needs a modern reinterpretation or that we can kind of talk about or reflect on?
165000	175000	And what are the things, especially trying to find out, I am very concerned, what if there are things like blind spots that I have absolutely no clue about not knowing, essentially.
175000	178000	So what are the things I need to upgrade myself about as well?
178000	190000	So that is basically like putting each other on each other's blind spot and finding out what are the things that we both need to build up, so that then we can start filling up the details.
191000	194000	It's like a jigsaw puzzle, but the pieces are old.
194000	203000	We need to create new pieces that are not different, but the reinterpretation that fits better right now, essentially.
203000	209000	Something that we can distilled version, the PO version that we can also consolidate.
209000	213000	So those are the three topics that I think.
213000	216000	How do you think?
216000	230000	Yeah, I think I would have switched the order and put Shukumaraya first and then progressively from there, because I feel like that itself is like the seed to begin with.
230000	235000	It is, in a meta sense, it is.
235000	250000	The very reason that I will speak in a selfish way, because I don't know many people who have walked a similar kind of pathway.
250000	270000	So in that sense, growing up in an environment that is kind of academic, but have seen or perceived the necessity to become a careerist, but then again understood the necessity of the concept of absurdism, like the surrealism.
270000	287000	Like why, at which point that rampant rationalism falls apart and you need that support of the fun in life without which you can't proceed, like life becomes very bleak.
287000	289000	You cannot rationalize that part.
289000	296000	Sometimes no matter how well you do things, you still lose, at which point all you can do is laugh at it.
296000	302000	And like I'm probably not putting it the right way, but I've seen that thing and it was always challenging.
302000	307000	I've seen people at various order, like various spectrum, but not most of the time.
307000	311000	I didn't see many people who covered the whole spectrum, whole of it.
311000	323000	So it was always challenging for me to communicate with people on the entire spectrum who understand the rational world as well as Viralaya Talibhusha.
