start	end	text
0	10000	What topic? I am going to try to take this out.
10000	12000	Do you have any topic in mind?
12000	22000	I have. Before that, let me start with a brief introduction and the reason why I am choosing to stream.
23000	31000	I don't have much of a viewer and this is not being streamed on Twitch. This is purely being streamed to YouTube for the vault purpose.
31000	42000	It's almost like a time capsule. That purpose. Probably not relevant for next 2 years, 3 years, 5 years.
42000	49000	But maybe 50 years down the line, somebody might find this and it might add some context, some meaning.
49000	52000	I don't know. Hopefully, that is the case.
59000	64000	I feel that we have been having this chat. We have been having the conversation for the last couple of weeks.
64000	72000	There has been a lot of interesting topics that we kind of touched. But the volatility of it, I kind of don't enjoy that part.
72000	85000	Even though I see the trying to be that Ozymandias and also see the irony of it, but I also can't, as a life form, I cannot just go into the dark night.
85000	92000	I have to fight back against it. So that's kind of the way to try to retain as much information as possible.
92000	100000	Hopefully, that is relevant or useful for us or to somebody else for that matter at any point in time.
100000	110000	With that said, for anybody watching this, I'm Deb. This is Kaustubh. We go a long way. We have had previous ventures.
110000	123000	So we have a tendency of imagining a future and then talking about it and then getting excited about it and then doing something and then realizing that the world hasn't caught up to it yet and it needs more time.
123000	129000	So by the time the world actually catches up with it, we kind of are done with it, exhausted about it and bored about it.
129000	138000	And we moved on to something different that had happened with the entire three pillars of the things that we are working with right now.
138000	152000	The world has caught up to the part about unified communication, self-autonomous software, and eventually going to be that he brain machine interface.
152000	161000	Those are the things that we are kind of in that zone right now, which is good. Applet died for that scene 10 years back.
161000	173000	Anyway, so hopefully the things that we're talking about now, it becomes relevant at some point. Topics that I have been trying to jot them down in notion.
173000	182000	I kind of have like it's not very sorted or organized, but I think I do better thinking when I'm trying to vocalize it and trying to find the pitfalls.
182000	191000	So that is kind of my outlet, like discussing with you and figuring out where I'm coming wrong or where are the parts that are darker still that I need to shed more light on.
191000	202000	And I think you also have some some things to discuss. So tossing the mic back on to you. Go ahead. Where do you want to go?
202000	214000	So, I mean, content warning for viewers more on the lines that you this is more like choosing to record our thoughts.
214000	228000	And it tends to be sometimes utterly specific, thus being very narrow and sometimes extremely generalistic, thus being not applicable to specific context.
228000	239000	The pedal is getting raw information as it processes and comes out of the brain.
239000	248000	The benefit that I hope that even I wish to have when I look back at this in the future is to see the thoughts forming.
249000	256000	And sometimes, you know, when you look back at the process of thought, it's kind of like an RPG.
256000	269000	Like if you pause and play back and wonder if I had thought something different here, kind of like tweaking the variable of my own thought, would that produce a different outcome and then just run tests?
269000	280000	So I would say one of the purpose for me even regarding it at this stage is probably the like wanting the ability to actually come back to it, analyze it.
280000	293000	So maybe I think this will become a topic in a lot of our discussions, the retrievability of information and what does it need to maximize that?
293000	303000	And I guess that is sort of one of the segues to some of the topics that we have been discussing.
303000	312000	Let's say I'd like to start with a few of my old Bangla shots.
312000	324000	Like an elder brother of mine had explained to me when I was about four or five years of age, I'm just learning Bangla of the types of students that exist in a school.
324000	339000	And he had said, and the equivalents are there is bigabego, so big in Bangla means fast, like for those students who understand very fast and who forget very fast.
339000	347000	There is dhirobego, dhiro means slow, like where somebody slow to learn and forgets very fast.
347000	354000	Then there is begodhiro, which is somebody learns very fast and forgets very slowly.
354000	362000	And there is dhirodhiro, like I take a long time to learn, but then I'm very slow to forget.
362000	377000	And he had told me what you want to be in life is the begodhiro, like you want to be able to learn the fastest and remember it the longest.
377000	385000	I found that it's a very good middle class Bengali aspiration, which like most things are not attainable in reality.
385000	399000	So what actually you would want to do, in fact, then that somehow stayed with me, you know, like the earliest perceptions of how humans think and how others perceive others thinking.
399000	409000	From there, it has kind of been that guiding stone that, okay, what if I tweak the system to my benefit, given my apparent lack of capability?
409000	419000	So what would it do, like my ideal combination then became the begabego that I want to be able to learn very fast, forget very fast.
419000	429000	But I want to be able to recall just specific things when I want, because it seems like that's what I'm very used to, like I don't remember what I ate yesterday.
429000	436000	But I have a very good collection of all the things I have cooked and I can make you something which was something like yesterday.
436000	449000	And if can you tune my life to that direction? So just to draw it back to where we have been discussing is sort of this intersectional perspective that there are certain things that human brains are capable of doing.
449000	457000	There are certain things that human collectives are capable of forming and the principles seem to be beyond anthropomorphic.
457000	468000	That is, these are more generic principles. So what are those limitations that we are enforcing upon ourselves by the anthropomorphic lenses that we have put?
468000	479000	Which very interestingly leads us down to the discussion of morality, that what is good, what is bad? Am I a good boy, am I a bad boy?
479000	489000	Now, well, it goes to say good boy, bad boy, good daddy, bad daddy. Yeah, but am I a good boy and a bad daddy?
489000	500000	These are all subjective. So then what's the function of morality? But then, given that both of our, so I know they're up to the Maasala community.
500000	516000	That's where we had met, he was my mentor there. And yeah, I have been stuck like, you know, stronger than it leads to your toes, like kind of absorbing the nutrients.
516000	527000	But then, I mean, from them, I see that as a more of a binary system, like binary star, like two neutron stars, that kind of system.
527000	543000	I was coming to that. Yeah, I mean, so when I say like leech, that was basically the object of morality being applied to give it a connotation of good and bad and parasitic being just a one way communication, let's say.
543000	565000	Which has been something that has constantly clashed because there's probably the only other person I know who speaks the exact same languages, has exposure to similar kind of cultures, and things in that exact nonsensical absurdist generalist, yet specific, but occasionally vague that you won't understand without the concept.
565000	580000	And I, this is all just a long introduction of what is coming up. This is sort of a summary. Somebody hasn't ended. This is still the trailer.
580000	601000	Now, what happens is when you just look into these things, and then look at the world around us, which is, it's like applied philosophy, that you take the basics of metaphysics, and you look at the world around you and try to narrate those things with these lenses, then what does it look like?
601000	618000	And you start seeing the intersections. For example, a lot of this discussion would quickly go into quantum computing for the very fact that it is one of those paradigm shifts, which lets us think differently, which lets us plan differently.
618000	638000	But then a lot of my interest is also to see that what can we do with what we already have? And that is not the same as combining a few tools to build something out of it. It's not assembly.
638000	650000	But it's a careful deconstruction of every tool that we have to see what is it that they're doing? What is it that they're providing us? And when it's a tool, I mean language as a resource. So let's just consider resource, right?
650000	665000	And then putting it back in a certain configuration to see if that is giving us any different results. And this is pretty much how I think both of us think, how we try to talk, how we also try to document.
665000	673000	So I guess I will again now put things back.
673000	678000	So you gave quite a few points for me to jump off.
678000	681000	But now let's build from there.
681000	701000	Yeah. So one of those things that you mentioned about that, the way that is very narrow, very certain, very specific frequency band that we communicate, I've kind of figured out the reason for that. Shukumar Rai.
701000	717000	So I was going to pay tribute to him. He's like a death anniversary. What do you call that thing?
718000	720000	You just called it a death anniversary.
720000	731000	Okay, so that is the term. I'm bad with nouns, essentially, in a sense. So that is 10th September, this centenary, essentially.
731000	753000	And the fun fact is, he would be exactly pretty much 100 years older than me. It gives me a lot of not to think about, so I kind of like working towards that. But point is, I kind of realized that shaped a lot of my childhood, that shaped a lot of my adulthood, and that shaped a lot of the kinds of friends that I am capable of making in the first place.
753000	772000	But it also gave me a very good framework of looking at life, not too chill, not too uptight, but in a particular narrow band where the bandwidth is kind of maximum, in a sense, for the lack of a better way to explain it.
773000	775000	The non-compromising observer.
775000	794000	Yeah, maximally curious non-compromising observer, in a sense. The maximally curious part is kind of important, because sometimes I have to let go of opportunity for the maximal curiosity part, like I want to see more, know more, and sometimes I might need to take less reward because of that.
794000	803000	So anyways, putting that aside, just wanted to mention that because the kind of framework, I didn't know about it even a couple of months back. What was it?
803000	809000	It's like you'd be amazed how much sense absurdist techniques can make.
809000	825000	Ironically. So the other part of that information persistence that you started to talk about, you kind of went into that direction, but you actually didn't traverse. I want to know more about that part. Yeah, it happens all the time. It happens to me as well. I'll do that all the time.
825000	832000	I was like charting the periphery of the quadrant. It's like you take a left from Kronos, don't continue straight.
832000	837000	Okay, so that's the delta quadrant then.
837000	858000	So the parts that we can basically talk about as you kind of lay down, like quantum computing, cognitive psychology, like the entropy of matter, things that we're doing, what is good, the sense of morality in the first place, and how we approach things, what is worth doing.
858000	870000	As in this is one of the things that probably not a lot of philosophical debate that gets into usually like what is worth doing, like what is good, what is bad, that usually is kind of crux of the matter.
870000	879000	What is worth doing? Like after knowing what is good, what is bad? What's your takeaway? Where do you go from there?
879000	887000	So that is probably a very underexplored topic, but there are a lot of things that we can think about.
887000	895000	I think you want to write up. You do better thinking when you write something, if I'm not mistaken.
895000	898000	I do better communication when I write.
898000	899000	Okay.
899000	902000	I do better thinking when I scribble and speak.
902000	906000	Okay, yeah. So for me, that is especially the case.
906000	909000	I do better thinking when I'm vocalizing, subverbalizing something.
909000	926000	I'm pathetic at it, and the reason I stumble, the reason I stammer, the reason I kind of go back and forth and can't find the right word for it is because that is the particular point when I'm actually like threading the needle, or trying to, essentially.
926000	932000	I'm forming my thoughts at that point when I'm actually talking about it, so kind of happening in parallel.
932000	941000	I can collate them better later, but actually the uncharted territory traversing that part, I need to verbalize it.
941000	955000	So I think I am also trying to kind of figure out what are those thoughts, what are those things that we can go through, and how can we kind of make them, give them some sort of permanence.
955000	959000	At least to give our best, to give some kind of permanence, right?
959000	968000	So that's what we are basically trying to probably figure out, and I am trying to make this thing kind of a not a one-time thing.
968000	978000	This is something that we keep on biting every chunk by chunk, and get to the end of it, and come out with a result with some sort.
979000	990000	It doesn't have to be, it doesn't have to generate some magnifying glass or something, but having some kind of goal kind of gives a framework to look up to, essentially.
990000	997000	That's pretty much what I'm coming from. Maybe I need to re-evaluate that at some point, but that's where I'm at.
997000	1007000	I think that itself is a very interesting part to focus on, because in a fundamental way, we are trying to capture chaotic thinking,
1007000	1015000	aligned to people who roughly think in the same domains, but not necessarily the same directions, but with ample intersections.
1015000	1020000	So there is a large union set here.
1020000	1029000	But how does that actually begin to form to a point that actually produces something in the end?
1029000	1035000	And each of these are then loops, or like levels of state, whichever way you plot it.
1035000	1041000	And I think that the important thing is figuring out the loops in the system.
1041000	1048000	So the best way to figure it out is, and again, I'm just depicting what has worked for us in the past,
1048000	1052000	which is we start down a path of inquiry, like go down a rabbit hole.
1052000	1059000	At some point, if the rabbit hole intersects with something you've touched on the path, then you have a loop.
1059000	1065000	So then note that, go back and mark that loop, and then carry on.
1065000	1068000	That don't take that path again.
1068000	1076000	Which is, in our current state, then that is like the point of one article, one library, we don't know.
1076000	1087000	Like each of them then would have traced one full path, which should have some artifact that can be produced as a result of that.
1087000	1090000	Right.
1090000	1097000	One other thing, aside from that, that I was figuring out, that is probably not mutually exclusive,
1097000	1107000	but another way to approach it is, not always two people talking about the same domain, discussing the same thing,
1107000	1112000	have to actually come to a synthesis, not necessarily, because the amount of information available,
1112000	1119000	the amount of discussion necessary, amount of vocabulary available, all those things kind of sometimes may pose the amount of life experience needed.
1119000	1124000	All those things might pose a certain limitation that you might not be able to come to a conclusion,
1124000	1133000	but it might still be necessary to present both the sides of the argument itself as a documentation, in a sense.
1133000	1138000	It is not necessary to come to a, okay, no, we agree with each other now.
1138000	1146000	It is okay to have that, okay, your standpoint and morality stands here, mine is here, but we present both of those things.
1146000	1156000	Maybe we ourselves can revisit it in five years' time, and maybe we have some better tools to deal with that, but it might still be necessary to document it as is.
1156000	1164000	Not mutually exclusive with any of the previous approach we already have tried and worked, but I think that's also yet another thing that we can try.
1164000	1171000	Previously, we had tried to work towards a common endpoint, essentially.
1171000	1178000	So that gives me a very interesting segue into the kind of like the core discussions.
1178000	1186000	Now, a lot of these discussions tend to focus around the abstracts and like the abstraction of the discussion, like the meta, so to say.
1187000	1200000	And kind of like HTTP requests, like if you send reasonable enough information in the header, your body does not need to contain status codes, you know, the kind of APIs I'm talking of.
1200000	1205000	Like, don't send redundant status codes. It's kind of like, don't do small talk, please.
1205000	1209000	I mean, if you just look, if I was an HTTP server, whatever they've said.
1209000	1221000	But then the thing that they've said, in terms of the discussions and then something fruitful coming out of it, and that we record so that we can revisit it in, let's say, five years.
1221000	1229000	Now, one of the themes that also happens is this is the third five-year term that we are entering in that sense.
1229000	1236000	Our first five year was about, let's build open source communities in India in some form.
1236000	1251000	Second five year was on the lines of there are some of these fundamental technologies that we are interested in that looks like we need to do what we actually want to do, which is like things on top of that.
